sale_price,lot_area,finished_living_area,bedrooms
0,8877,882,3
0,162196,4339,4
0,8632,1472,4
0,11218,2470,3
0,10200,1224,2
0,9968,2457,4
0,10080,1820,4
0,10237,1593,3
0,12000,1080,2
0,10800,1768,6
0,11170,2629,5
0,7800,1652,3
0,6825,972,3
0,11360,2088,5
0,57200,2572,3
0,10612,3236,6
0,10800,2182,2
0,14302,4171,5
0,8172,1751,3
0,9600,1200,3
0,8360,1874,4
0,6760,1670,4
0,8955,1808,2
0,8600,1376,3
0,8906,1211,3
0,11702,5042,5
0,13937,2082,4
0,8405,1884,4
0,0,0,0
0,9894,3629,4
0,9360,3017,5
0,58920,6593,4
0,7155,2150,4
0,13837,3279,4
0,9550,2453,3
0,9446,2458,5
0,12276,1899,4
0,13713,3292,5
0,10780,1875,3
0,7560,3095,4
0,11179,1854,3
0,9800,1891,3
0,18443,1932,3
0,22147,2935,4
0,8686,1074,3
0,4800,672,2
0,9159,2128,4
0,5649,1104,2
0,25000,1668,3
0,8308,864,4
0,19887,1352,4
0,9600,1921,3
0,63382,4326,4
0,12295,2189,4
0,37710,2046,3
0,10400,2665,4
0,10008,1238,3
0,12160,1505,3
0,8800,912,3
0,11104,2254,5
0,9455,2620,4
0,11206,3343,4
0,7500,3018,5
0,10800,1414,3
0,7805,1391,3
0,39312,0,0
0,11100,2105,4
0,13731,1843,3
0,10852,2457,3
0,32865,0,0
0,15194,2047,3
0,7500,1110,3
0,9350,1882,4
0,9027,2328,4
0,1950,0,0
0,20300,0,0
0,97648,0,0
0,6120,1128,2
0,8622,2415,4
0,14976,2371,3
0,6911,1301,2
0,16351,0,0
0,10970,1500,3
0,3880,1195,2
0,6958,2445,5
0,10000,2020,3
0,11900,2733,4
0,9400,1990,3
0,13988,1680,2
0,11474,1963,3
0,6292,1594,3
0,14000,2074,2
0,9617,1725,6
0,10350,1625,5
0,16556,3029,4
0,8112,1311,3
0,5775,1427,3
0,6120,1990,4
0,12330,2160,3
0,12691,3149,4
0,88862,1523,3
0,14051,2983,5
0,12182,2687,4
0,6437,864,3
0,4082,1728,4
0,11071,1616,3
0,26546,2066,4
0,6150,993,3
0,13089,1504,3
0,16875,1643,3
0,9400,1925,4
0,62000,2252,4
0,9642,1626,3
0,13125,2487,4
0,14277,3323,4
0,9140,1107,3
0,9398,1620,4
0,9958,1922,4
0,12090,1769,3
0,6931,2191,3
0,6000,1025,2
0,14649,2288,3
0,6762,1276,2
0,10800,3262,4
0,7000,1338,3
0,10353,1540,4
0,9525,2172,3
0,16744,1335,3
0,14000,2504,6
0,9600,1618,4
0,7590,1642,4
0,9750,2182,3
0,10214,2564,4
0,10200,1481,4
0,12750,3014,4
0,135472,4304,4
0,7800,1154,3
0,10400,2137,4
0,12324,2130,5
0,9438,1628,3
0,8848,1915,4
0,8450,2343,4
0,16692,3747,6
0,10459,2372,3
0,6120,1721,3
0,13251,1536,3
0,8946,1224,2
0,10458,1277,5
0,6001,919,3
0,5640,1440,2
0,11147,1990,3
0,39866,1403,2
0,7746,1500,6
0,14810,3515,5
0,7035,1444,3
0,7000,1343,3
0,5000,1284,3
0,12700,2185,4
0,20103,2953,5
0,11218,2299,4
0,9909,1284,4
0,17732,2797,4
0,19340,3810,5
0,18430,3156,3
0,8960,1082,2
0,13800,2054,4
0,8339,882,3
0,7150,1628,4
0,9600,2327,5
0,5797,909,2
0,10320,1005,3
0,7500,2288,3
0,8750,2187,4
0,9816,2508,3
0,11625,1039,5
0,7000,1973,5
0,10152,1338,3
0,8452,1908,5
0,10410,1918,3
0,9894,1411,3
0,15500,2520,4
0,7791,1040,2
0,6076,1648,5
0,5925,1166,3
0,13695,1760,4
0,10171,1555,3
0,10314,1520,3
0,11692,2858,4
0,9222,1844,4
0,10450,2786,4
0,9790,1911,4
0,7674,912,2
0,10350,2087,4
0,8097,1444,4
0,9600,1472,3
0,9026,1481,4
0,6490,1377,3
0,9760,1335,3
0,8251,2561,5
0,20072,3896,4
0,14450,1220,3
0,5680,1511,3
0,10499,882,5
0,9000,1955,5
0,12752,2326,4
0,13214,1554,3
0,10800,2511,4
0,10824,1790,3
0,7544,1453,3
0,8857,0,0
0,9325,2664,4
0,3600,1325,4
0,18502,2206,3
0,6960,1456,3
0,15525,2267,4
0,11056,2516,4
0,91234,6453,4
0,9600,2595,5
0,10800,2554,3
0,6000,1103,2
0,12629,2556,4
0,11827,1348,3
0,6130,1201,2
0,11134,2356,4
0,7630,1812,4
0,16200,2826,5
0,11708,3678,4
0,10880,1591,3
0,10192,1500,3
554665,2354,3,
